trail_id,backpacking,beach,bike_touring,bird_watching,camping,cave,city_walk,cross_country_skiing,dog_friendly,easy,elevationm,event,fishing,forest,hard,hiking,historic_site,horse_back_riding,hot_springs,kid_friendly,lake,length_km,loop,medium,mountain_biking,name,nature_trips,ohv_off_road_driving,out_and_back,paddle_sports,partially_paved,paved,point_to_point,pub_walk,rails_trails,river,road_biking,rock_climbing,running,scenic_driving,skiing,snowshoeing,stroller_friendly,via_ferrata,views,walking,waterfalls,wheelchair_friendly,wildflowers,wildlife
273,0,0,0,0,0,0,1,0,0,1,22,0,0,0,0,0,1,0,0,1,0,55,1,0,0,Ostia Antica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
280,0,0,0,0,0,0,1,0,0,0,206,0,0,0,0,0,1,0,0,1,0,89,0,1,0,Rome Walking Tour,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
339,0,0,0,0,0,0,0,0,0,1,345,0,0,1,0,1,0,0,0,1,0,89,1,0,0,"Ruara Valley, Cau, and Bosco di Cartore Loop",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
346,0,0,0,0,0,0,0,0,0,0,94,0,0,1,0,1,0,0,0,0,0,63,1,1,0,"Cervarano, Sambuco and Briganti Path",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
347,0,0,0,1,0,0,0,0,0,0,1087,0,0,0,1,1,0,0,0,0,1,140,1,0,0,"Cesa Valley, Cieco Valley and Duchessa Lake",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
352,0,0,0,1,0,1,1,0,0,0,232,0,0,0,0,1,1,0,0,0,0,100,1,1,1,Blera - Bandita,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1
376,0,0,0,0,0,0,0,0,0,1,140,0,0,1,0,1,0,0,0,1,0,69,1,0,0,"Rofalco, Rosacrepante, Mignattara",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
379,0,0,0,1,1,0,0,0,0,0,433,0,0,0,0,1,1,0,0,0,0,76,1,1,1,Monte Redentore,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
416,0,0,0,0,0,0,0,0,0,0,977,0,0,0,1,1,0,0,0,0,0,121,1,0,0,Duchessa Natural Reserve Mountains Loop,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
417,0,0,0,1,0,0,0,0,0,0,983,0,0,0,1,1,0,0,0,0,1,150,1,0,0,Duchess Lake Extended Loop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
424,0,0,0,0,0,0,1,0,0,1,44,0,0,0,0,1,0,0,0,1,0,34,0,0,0,Rome Fountains Walking Tour,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
457,1,0,0,0,0,0,1,0,0,0,68,0,0,0,0,1,0,0,0,1,1,151,0,1,1,The Appian Way | Via Appia Antica,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
484,0,0,0,1,0,0,0,0,0,0,770,0,0,0,1,1,0,0,0,0,0,145,1,0,0,"Amara Valley, Asino Valley and Campetelli",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
485,0,0,0,0,0,0,1,0,0,1,135,0,0,0,0,1,1,0,0,1,0,63,0,0,0,Rome at Night Walking Tour,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
496,0,0,0,0,0,0,0,0,0,1,427,0,0,1,0,1,1,0,0,1,0,95,1,0,0,Monte Catillo Loop,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
536,0,0,0,0,0,0,1,0,0,0,250,0,0,0,0,0,1,0,0,1,0,145,1,1,0,Rome Family Friendly Walking Tour,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
558,0,0,0,1,0,0,1,0,0,1,91,0,0,0,0,0,1,0,0,1,0,51,0,0,0,Rome Walking Tour,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
573,0,0,0,0,0,0,0,0,0,0,676,0,0,1,0,1,1,0,0,0,0,117,1,1,0,Colle della Caparnassa - Monte Pellecchia - Pizzo Pellecchia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
583,0,0,0,0,0,0,0,0,0,0,919,0,0,1,1,1,0,0,0,0,1,111,1,0,0,Duchess Lake Loop,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
586,1,0,0,0,0,0,0,0,0,0,812,0,0,0,0,1,0,0,0,0,0,93,1,1,0,Monte Meta from Prati di Mezzo,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
593,1,0,0,0,0,0,0,0,0,0,1019,0,0,1,1,1,0,0,0,0,0,134,1,0,0,Monte Tarino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
605,0,0,1,0,1,0,0,0,0,0,485,0,0,1,0,1,0,0,0,0,0,79,0,1,1,Capranica Presentina - Monte Calo - Guadagnolo,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
611,0,0,0,0,0,0,1,0,0,0,57,0,0,0,0,0,0,0,0,1,0,31,0,1,0,Campus Martius Highlights Walking Tour,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
629,0,0,0,0,0,0,0,0,0,0,368,0,0,1,0,1,0,0,0,0,0,122,1,1,1,Cimitero - Cascatelle - Monte Mancini,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1
665,0,0,0,0,0,0,0,0,0,1,220,0,0,1,0,1,1,0,0,1,0,55,1,0,0,Campo dell'Osso - Monte Autore,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
679,0,0,0,0,0,0,0,0,0,0,574,0,0,0,0,1,0,0,0,0,0,172,1,1,1,Canale Monterano,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
692,0,0,0,0,0,0,0,0,0,0,853,0,0,1,1,1,0,0,0,0,0,76,1,0,0,Pizzo Deta,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
699,0,0,0,1,0,0,0,0,0,1,23,0,0,1,0,0,1,0,0,0,0,45,1,0,0,Villa di Plinio Loop,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
709,0,0,0,0,0,0,0,0,0,1,148,0,0,0,0,1,0,0,0,0,0,72,1,0,0,Castel Giuliano Waterfalls,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
1332,0,0,0,0,0,0,0,0,0,0,855,0,0,0,0,1,0,0,0,0,0,288,1,1,1,Valle del Sorbo,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
716,0,0,0,0,0,0,0,0,0,0,697,0,0,0,1,1,0,0,0,0,0,97,1,0,0,Monte Terminillo - Monte Terminilletto - Cima di Val'Organo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
736,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0,1,1,0,0,1,0,63,1,0,1,Parco degli Acquedotti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
744,0,0,0,0,0,0,0,0,0,0,595,0,0,0,1,1,0,0,0,0,0,74,0,0,0,San Felice Circeo,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
769,0,0,0,1,0,0,0,0,0,0,469,0,0,1,0,1,0,0,0,0,0,100,1,1,0,Monte Gennaro,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
788,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,1,0,0,0,0,1,97,1,1,1,Lake Albano,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
813,0,0,0,0,0,0,0,0,0,1,62,0,0,0,0,0,0,0,0,1,0,64,1,0,0,Caffarella Park Loop,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
830,0,0,0,1,0,0,1,0,0,1,95,0,0,1,0,1,1,0,0,1,0,45,1,0,0,Necropoli S. Simone - S. Giuliano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
835,1,0,0,0,1,0,0,0,0,0,615,0,0,0,0,1,1,0,0,0,0,183,0,1,1,La Via Francigena: Bolsena to Montellascone,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
854,0,0,0,0,0,0,0,0,0,0,434,0,0,0,0,0,0,0,0,0,1,153,1,1,1,Lake Albano to Lake Nemi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
869,0,0,0,0,0,0,0,0,0,0,741,0,0,1,0,1,0,0,0,0,0,117,1,1,0,Monte Semprevisa and Monte La Croce Loop,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
873,1,0,0,1,0,0,0,0,0,0,1338,0,0,1,1,1,0,0,0,0,1,182,1,0,0,Cartore - Murolungo - Cimata di Macchia Triste - Capo Teve,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
874,0,0,0,1,0,0,0,0,0,0,519,0,0,1,0,1,0,0,0,0,0,113,1,1,0,Stazzano - Pozzo Badino - Monteflavio,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
875,1,0,0,0,0,0,0,0,0,0,490,0,0,0,0,1,1,0,0,0,0,220,0,1,1,La Via Francigena: Acquapendente to Bolsena,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
884,0,0,0,1,0,0,0,0,0,0,460,0,0,1,0,1,0,0,0,0,0,43,1,1,0,Monte Circeo via Sentiero Torre Paola,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
903,0,0,0,0,0,0,0,0,0,0,785,0,0,1,0,1,0,0,0,0,0,100,1,1,1,Monte Gennaro - Monte Morrone della Croce,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
914,0,0,0,0,0,0,0,0,0,0,478,0,0,0,0,1,0,0,0,0,0,74,1,1,0,Monte Cervia Loop,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
925,0,0,0,0,0,0,1,0,0,0,343,0,0,0,0,0,1,0,0,0,0,249,0,1,0,Via delle Sette Chiese,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
928,0,0,0,0,0,0,0,0,0,0,887,0,0,1,0,1,0,0,0,0,0,132,1,1,1,Monte Semprevisa from Bassiano,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
938,0,0,0,0,0,0,0,0,0,0,661,0,0,0,0,1,0,0,0,0,0,172,1,1,1,Artemisio Loop,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
946,1,0,0,0,0,0,0,0,0,0,440,0,0,0,0,1,1,0,0,0,0,241,0,1,1,La Via Francigena: Vetralla to Sutri,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
952,1,0,0,0,0,0,0,0,0,0,183,0,0,0,0,1,1,0,0,0,0,158,0,1,1,La Via Francigena: La Storta to Rome,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
961,1,0,0,0,0,0,0,0,0,0,356,0,0,0,0,1,1,0,0,0,0,235,0,1,1,La Via Francigena: Sutri to Campagnano di Roma,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
971,1,0,1,0,0,0,0,0,0,0,334,0,0,1,0,1,1,0,0,0,0,188,0,1,1,"Via Francigena, Stage | Tappa 41: Viterbo - Vetralla",1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
977,0,0,0,1,0,0,0,0,0,0,663,0,0,1,0,1,0,0,0,0,0,90,1,1,0,Mount Pizzuto Loop,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
979,1,0,0,0,0,0,0,0,0,0,506,0,0,0,0,1,1,0,0,0,0,253,0,1,1,La Via Francigena: Campagnano di Roma to La Storta,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
988,0,0,0,0,0,0,0,0,0,0,217,0,0,1,0,1,1,0,0,0,0,106,1,1,1,"Area Archeologica Villa Campetti, Macchia Grande, Piazza d'Armi",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1004,0,0,0,0,0,0,0,0,0,0,569,0,0,0,0,0,1,0,0,0,0,261,1,1,1,De Campagnano di Roma รก Monte Gelato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1005,0,0,0,0,0,0,0,0,0,0,624,0,0,0,0,1,0,0,0,0,0,261,1,1,1,Sentiero Bosco della Bandita Quarto,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1009,0,0,0,1,0,0,0,0,0,0,843,0,0,0,1,1,0,0,0,0,1,119,1,0,0,Monte Navegna,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1021,0,0,0,0,0,0,0,0,0,0,808,0,0,1,0,1,1,0,0,0,0,158,1,1,1,Monte Petrella Cima del Redentore - Monte Sant'Angelo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1029,0,0,0,0,0,0,0,0,0,0,2019,0,0,0,1,1,0,0,0,0,0,225,0,0,0,"Valle del Salto, Cartore, Val di Teve, Monte Cafornia- Monte Il Bicchero, e Rifugio Sebastiani",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1034,0,0,0,0,0,0,0,0,0,0,475,0,0,1,0,1,0,0,0,0,0,134,1,1,0,Monte Autore dal Prato di Camposecco,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1035,0,0,0,0,0,0,0,0,0,1,303,0,0,1,0,1,0,0,0,0,0,82,1,0,0,Campaegli - Campo Buffone,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1
1040,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,1,1,0,0,0,0,90,1,1,1,Parco Acquedotti MTB Track,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0
1044,0,0,0,0,0,0,0,0,0,0,134,0,0,1,0,1,0,0,0,0,0,43,1,1,0,Monte Tuscolo Loop,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1049,0,0,0,0,0,0,0,0,1,1,260,0,0,1,0,1,1,0,0,1,0,47,1,0,0,Monte Soratte (Falesia del Drago),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
1062,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,1,0,0,0,0,0,301,1,1,1,Via Prato della Corte,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1069,1,0,0,0,0,0,0,0,0,0,693,0,0,1,0,1,0,0,0,0,0,146,1,1,1,Camerata Vecchia - Rifugio Camposecco,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1077,0,0,0,0,0,0,0,0,0,1,287,0,0,1,0,1,0,0,0,1,0,69,1,0,0,Campo dell'Osso - Le Vedute - Monte Autore - Monna dell'Orso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1086,1,0,0,1,0,0,0,0,0,0,1121,0,0,1,1,1,0,0,0,0,0,257,1,0,1,Rifugio di Camposecco - Monte Autore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1087,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,1,0,0,0,1,1,58,1,1,0,Via Del Casino Algardi,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
1094,0,0,0,1,0,0,0,0,0,0,661,0,0,0,1,1,0,0,0,0,0,182,1,0,0,"Monte Cavo, Colle Iano and Rome Viewpoint Loop",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1101,1,0,0,0,0,0,0,0,0,0,145,0,0,0,0,1,1,0,0,0,0,175,0,1,1,La Via Francigena: Montefiascone to Viterbo,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1104,1,0,0,0,0,0,0,0,0,0,206,0,0,1,0,1,1,0,0,0,0,74,0,1,0,Valle del Treja: Cascate di Monte Gelato - Calcata Vecchia,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1
1113,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,1,0,0,0,0,0,40,1,1,0,Cascata Parco del Turona,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
1127,0,0,0,0,0,0,0,0,0,0,765,0,0,0,0,1,0,0,0,0,0,169,1,1,0,Monte San Martino - Sprone Maraoni,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1137,0,0,0,0,0,0,0,0,0,1,60,0,0,0,0,1,0,0,0,0,0,55,1,0,0,Nature Trail,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0
1142,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0,1,0,0,0,0,0,80,1,1,1,Maschio delle Faete Loop,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1146,0,0,0,0,0,0,0,0,0,0,609,0,0,0,0,1,0,0,0,0,0,193,1,1,1,Blue Route,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1155,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,1,1,0,0,1,0,126,1,1,1,Villa Pamphili Loop,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1161,0,1,0,0,0,0,0,0,0,0,343,0,0,1,0,1,0,0,0,0,0,135,1,1,0,Cascata Braccio di Mare - Cascata di Castel Giuliano,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1
1170,0,0,0,0,0,0,0,0,0,0,596,0,0,1,0,1,0,0,0,0,0,69,1,1,0,Monte Cacume,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1181,0,0,0,0,0,0,0,0,0,0,501,0,0,0,0,1,0,0,0,0,0,209,1,1,1,Via Delle Palme Loop,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1190,0,0,0,1,0,0,0,0,0,0,840,0,0,1,1,1,1,0,0,0,0,177,0,0,0,Casperia to Misciani,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
1194,0,0,0,0,0,0,0,0,0,1,64,0,0,0,0,1,1,0,0,1,0,53,1,0,0,Anello Villa Doria Pamphili,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1203,0,0,0,0,0,0,0,0,0,0,653,0,0,0,0,1,0,0,0,0,0,270,1,1,1,Da Cerveteri a Castelgiuliano,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1206,0,0,0,0,0,0,0,0,0,0,363,0,0,1,0,1,0,0,0,0,0,85,0,1,0,Traversata Monte Serrapopolo,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1209,0,0,0,0,0,0,0,0,0,1,102,0,0,1,0,1,0,0,0,1,0,35,1,0,0,Bocca di Teve,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
1210,0,0,0,0,0,0,0,0,0,0,601,0,0,0,0,1,0,0,0,0,0,238,1,1,1,Via Del Sepolcro to Via Settevene Palo,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
